Num: b0=0 b1=0 b2=2 b3=e size=4
  TC1C  [sp78]  (bytes 4d 00)
  TC2C  [sp78]  (bytes 4f 00)
  TC3C  [sp78]  (bytes 43 00)
  TC4C  [sp78]  (bytes 52 00)
  TC5C  [sp78]  (bytes 43 00)
  TC6C  [sp78]  (bytes 50 00)
  TC7C  [sp78]  (bytes 81 00)
  TC8C  [sp78]  (bytes 81 00)
  TCGC  [sp78]  (bytes 3c 00)
  TCSA  [sp78]  (bytes 45 00)
  TCXC  [sp78]  (bytes 4f e4)
  TCaP  [sp78]  (bytes 2d a0)
  TH0F  [sp78]  (bytes 2b 50)
  TH0a  [sp78]  (bytes 2b 50)
  TH0b  [sp78]  (bytes 29 d0)
  TIED  [sp78]  (bytes 2e a0)
  TM0P  [sp78]  (bytes 30 d0)
  TM0V  [sp78]  (bytes 39 ed)
  TPCD  [sp78]  (bytes 34 00)
  TPSD  [sp78]  (bytes 2e 10)
  TS0V  [sp78]  (bytes 26 df)
  TTTD  [sp78]  (bytes 2f 80)
  TTXD  [sp78]  (bytes 3d 80)
  TW0P  [sp78]  (bytes 2e 30)
  TW1P  [sp78]  (bytes 30 a0)
  TW2P  [sp78]  (bytes 30 80)
  TaLC  [sp78]  (bytes 2e 50)
  TaRC  [sp78]  (bytes 2f 50)
  VCAC  [flt ]  (bytes e1 47 45 3f)
  VCSC  [flt ]  (bytes de 10 6b 3f)
  VCTC  [flt ]  (bytes 96 38 6a 3e)
  VD0R  [flt ]  (bytes 0f f3 43 41)
  WCPW  [ui8 ]  0 (bytes 00)
  WKEN  [hex_]  (bytes 00 00 00 00)
